ID_Moneda,Nombre_Moneda,Simbolo,Anio,Mes_Nombre,Mes_Referencia,Precio_Promedio_Mensual,Maximo_Mensual,Minimo_Mensual,Precio_Inicio_Mes,Precio_Fin_Mes,Volatilidad_Media_Mensual,Volumen_Promedio_Mensual,Mes_Orden,Retorno_Mensual_Real
jito-staked-sol,Jito Staked SOL,JITOSOL,2025,April,2025-04-01,156.32,182.49,125.47,140.53,178.56,4.635405259251966,28166793.921000,4,0.2706
polkadot,Polkadot,DOT,2025,April,2025-04-01,3.86,4.27,3.37,4.02,4.24,3.6958372392693373,180375340.498333,4,0.0547
rocket-pool-eth,Rocket Pool ETH,RETH,2025,June,2025-06-01,2866.44,3197.42,2536.97,2963.14,2776.10,3.327198505815459,3305041.564333,6,-0.0631
shiba-inu,Shiba Inu,SHIB,2025,December,2025-12-01,0.00,0.00,0.00,0.00,0.00,3.4979938928779064,127792487.203333,12,
cardano,Cardano,ADA,2025,November,2025-11-01,0.50,0.61,0.40,0.61,0.44,3.858155376952659,1041789101.122667,11,-0.2787
crypto-com-chain,Cronos,CRO,2025,December,2025-12-01,0.11,0.11,0.10,0.11,0.11,2.4386294452057853,22012328.883333,12,0.0000
falcon-finance,Falcon USD,USDF,2025,April,2025-04-01,1.00,1.00,1.00,1.00,1.00,0.048408404028111675,2408426.367667,4,0.0000
hedera-hashgraph,Hedera,HBAR,2025,September,2025-09-01,0.23,0.25,0.21,0.22,0.22,2.4870001912432165,218320388.937000,9,0.0000
polkadot,Polkadot,DOT,2025,August,2025-08-01,3.89,4.29,3.51,3.60,3.81,4.263457785291364,317860840.968065,8,0.0583
quant-network,Quant,QNT,2025,March,2025-03-01,79.68,98.47,69.31,92.05,69.41,4.911392650935823,31197228.357419,3,-0.2460
bittensor,Bittensor,TAO,2025,September,2025-09-01,329.80,362.04,297.22,309.44,297.22,2.8176921318643244,78771838.687333,9,-0.0395
hash-2,Provenance Blockchain,HASH,2025,December,2025-12-01,0.02,0.03,0.02,0.02,0.02,11.746750534808028,8118.063333,12,0.0000
jito-staked-sol,Jito Staked SOL,JITOSOL,2025,March,2025-03-01,160.00,209.75,140.69,169.43,153.89,6.928560972112345,34786086.130000,3,-0.0917
tron,TRON,TRX,2025,April,2025-04-01,0.24,0.25,0.23,0.24,0.25,1.8761075417481559,698627913.195667,4,0.0417
aster-2,Aster,ASTER,2025,October,2025-10-01,1.41,2.07,0.92,1.64,1.15,9.686734298776026,1089558271.360323,10,-0.2988
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),USDC,2024,December,2024-12-01,1.00,1.00,1.00,1.00,1.00,0.13943553022050814,134602334.343571,12,0.0000
binance-staked-sol,Binance Staked SOL,BNSOL,2025,May,2025-05-01,173.96,193.42,151.12,157.91,165.62,2.7658692110447727,4270106.318387,5,0.0488
chainlink,Chainlink,LINK,2024,December,2024-12-01,24.55,29.43,20.57,24.28,24.45,7.232721136995711,2388147188.059643,12,0.0070
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,2025,September,2025-09-01,112958.59,117084.77,108251.48,109109.45,114219.57,1.1956902476104831,357968280.521667,9,0.0468
ethereum-classic,Ethereum Classic,ETC,2025,March,2025-03-01,18.33,20.98,16.47,20.98,16.59,4.393247995746601,103869330.701613,3,-0.2092
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,RSETH,2025,November,2025-11-01,3415.23,4133.11,2925.33,4093.83,3165.33,3.565504045060395,702217.581667,11,-0.2268
shiba-inu,Shiba Inu,SHIB,2025,October,2025-10-01,0.00,0.00,0.00,0.00,0.00,3.789555531204275,210679176.214516,10,
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),USDC,2025,December,2025-12-01,1.00,1.00,1.00,1.00,1.00,0.007922115196379899,153115339.520000,12,0.0000
binance-staked-sol,Binance Staked SOL,BNSOL,2025,June,2025-06-01,157.80,174.24,139.35,165.95,162.63,3.4844790233295546,3149464.020000,6,-0.0200
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2025,February,2025-02-01,1.00,1.00,1.00,1.00,1.00,0.0,0.000000,2,0.0000
ethena,Ethena,ENA,2025,March,2025-03-01,0.39,0.47,0.34,0.38,0.39,8.25590399496996,273773692.618387,3,0.0263
ondo-finance,Ondo,ONDO,2025,October,2025-10-01,0.80,0.96,0.69,0.88,0.69,4.855237364532444,182895127.958387,10,-0.2159
pump-fun,Pump.fun,PUMP,2025,October,2025-10-01,0.00,0.01,0.00,0.01,0.01,8.58919015218301,420545542.455484,10,0.0000
usdtb,USDtb,USDTB,2025,February,2025-02-01,1.00,1.00,1.00,1.00,1.00,0.12698507697238628,68303.873214,2,0.0000
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,2025,March,2025-03-01,1.00,1.00,1.00,1.00,1.00,0.15348563734483522,325125161.408710,3,0.0000
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2025,December,2025-12-01,1.00,1.00,1.00,1.00,1.00,0.0,0.000000,12,0.0000
ethena,Ethena,ENA,2024,December,2024-12-01,1.02,1.25,0.82,0.82,1.02,8.299682332895678,788736938.178929,12,0.2439
flare-networks,Flare,FLR,2025,January,2025-01-01,0.03,0.03,0.02,0.03,0.02,4.727497636771649,19616150.779032,1,-0.3333
hyperliquid,Hyperliquid,HYPE,2025,September,2025-09-01,49.70,58.53,40.22,44.30,44.74,4.057121855563261,566005500.761333,9,0.0099
avalanche-2,Avalanche,AVAX,2025,July,2025-07-01,21.78,25.96,17.09,17.97,25.96,3.5369139565255447,670400214.890968,7,0.4446
avalanche-2,Avalanche,AVAX,2025,October,2025-10-01,23.55,31.38,18.11,30.68,20.32,5.030506786564593,835439385.220968,10,-0.3377
whitebit,WhiteBIT Coin,WBT,2025,June,2025-06-01,40.16,51.71,31.03,31.31,47.38,3.894162087414574,50866510.737333,6,0.5133
binancecoin,BNB,BNB,2025,January,2025-01-01,694.79,730.71,661.63,713.05,667.75,1.9417261666836914,989411994.064194,1,-0.0635
cardano,Cardano,ADA,2025,December,2025-12-01,0.41,0.43,0.39,0.42,0.43,4.034975513693026,853280513.323333,12,0.0238
chainlink,Chainlink,LINK,2025,January,2025-01-01,22.93,26.62,19.37,20.00,24.89,4.369165792398861,1122131144.550968,1,0.2445
dai,Dai,DAI,2025,February,2025-02-01,1.00,1.00,1.00,1.00,1.00,0.04644324843338451,248011733.685000,2,0.0000
hyperliquid,Hyperliquid,HYPE,2025,March,2025-03-01,15.21,20.47,12.35,20.09,16.05,6.489358234794347,141777947.125484,3,-0.2011
polygon-ecosystem-token,POL (ex-MATIC),POL,2025,July,2025-07-01,0.22,0.26,0.18,0.19,0.23,3.4439488475227056,107379782.804194,7,0.2105
solana,Solana,SOL,2025,September,2025-09-01,219.62,247.56,192.18,200.90,236.65,3.3406955112548005,7884362632.337333,9,0.1779
susds,sUSDS,SUSDS,2025,October,2025-10-01,1.07,1.08,1.06,1.06,1.07,0.22738196650165807,22709609.450000,10,0.0094
usds,USDS,USDS,2025,September,2025-09-01,1.00,1.00,1.00,1.00,1.00,0.027188570274003905,11424356.893000,9,0.0000
usds,USDS,USDS,2025,December,2025-12-01,1.00,1.00,1.00,1.00,1.00,0.009603589418862758,12977537.480000,12,0.0000
algorand,Algorand,ALGO,2025,January,2025-01-01,0.39,0.47,0.33,0.38,0.41,6.231365069631469,274028494.426774,1,0.0789
dai,Dai,DAI,2025,October,2025-10-01,1.00,1.00,1.00,1.00,1.00,0.1144261750307602,109056077.239355,10,0.0000
kucoin-shares,KuCoin,KCS,2025,March,2025-03-01,11.26,12.04,10.94,12.04,11.22,1.5500724536100805,206671.831290,3,-0.0681
pump-fun,Pump.fun,PUMP,2025,November,2025-11-01,0.00,0.00,0.00,0.00,0.00,8.387913563756857,244055826.353333,11,
whitebit,WhiteBIT Coin,WBT,2025,September,2025-09-01,42.71,44.39,40.52,42.19,41.61,1.1397301822274424,46472830.821667,9,-0.0137
